path,source,split,label,plant,disease,augmented,assigned_split
Data\watermelon\watermelon___downy_mildew\IMG_2385.jpg,watermelon,,Watermelon - Downy Mildew,Watermelon,Downy Mildew,False,valid
Data\watermelon\watermelon___healthy\IMG_2903.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,valid
Data\watermelon\watermelon___healthy\IMG_2814.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,valid
Data\watermelon\watermelon___healthy\IMG_2874.jpg,watermelon,,Watermelon - Healthy,Watermelon,Healthy,False,valid
Data\watermelon\watermelon___mosaic_virus\IMG_3004.jpg,watermelon,,Watermelon - Mosaic Virus,Watermelon,Mosaic Virus,False,valid
Data\watermelon\watermelon___mosaic_virus\IMG_3041.jpg,watermelon,,Watermelon - Mosaic Virus,Watermelon,Mosaic Virus,False,valid
Data\watermelon\watermelon___mosaic_virus\IMG_1912.jpg,watermelon,,Watermelon - Mosaic Virus,Watermelon,Mosaic Virus,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Alternaria\IMG_20230916_120654.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Alternaria,Pomegranate,Alternaria,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Alternaria\IMG_20230916_125117_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Alternaria,Pomegranate,Alternaria,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Alternaria\IMG_20230916_113655_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Alternaria,Pomegranate,Alternaria,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Anthracnose\IMG_20230903_144404_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Anthracnose,Pomegranate,Anthracnose,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Anthracnose\IMG_20230903_142337.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Anthracnose,Pomegranate,Anthracnose,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Anthracnose\IMG_20230903_131857.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Anthracnose,Pomegranate,Anthracnose,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Bacterial_Blight\IMG_20230910_114043_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Bacterial Blight,Pomegranate,Bacterial Blight,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Bacterial_Blight\IMG_20230813_091836.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Bacterial Blight,Pomegranate,Bacterial Blight,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Bacterial_Blight\IMG_20230813_101211.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Bacterial Blight,Pomegranate,Bacterial Blight,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Cercospora\IMG_20230813_154858.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Cercospora,Pomegranate,Cercospora,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Cercospora\IMG_20230813_153425.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Cercospora,Pomegranate,Cercospora,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Cercospora\IMG_20230813_155946_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Cercospora,Pomegranate,Cercospora,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Healthy\IMG_20230916_111843_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Healthy,Pomegranate,Healthy,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Healthy\IMG_20230916_112554_1.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Healthy,Pomegranate,Healthy,False,valid
Data\Pomegranate Fruit Diseases Dataset for Deep Learning Models\Pomegranate Diseases Dataset\Pomegranate Diseases Dataset\Healthy\IMG_20230910_120345.jpg,Pomegranate Fruit Diseases Dataset for Deep Learning Models,,Pomegranate - Healthy,Pomegranate,Healthy,False,valid
Data\papaya\papaya main dataset\Bacterial_Blight\IMG-20241027-WA0203-removebg-preview.png,papaya,,Papaya - Bacterial Blight,Papaya,Bacterial Blight,False,valid
Data\papaya\papaya main dataset\Carica_Insect_Hole\IMG-20241027-WA0039-removebg-preview.png,papaya,,Papaya - Carica Insect Hole,Papaya,Carica Insect Hole,False,valid
Data\papaya\papaya main dataset\Carica_Insect_Hole\IMG-20241027-WA0486-removebg-preview.png,papaya,,Papaya - Carica Insect Hole,Papaya,Carica Insect Hole,False,valid
Data\papaya\papaya main dataset\Carica_Insect_Hole\IMG-20241027-WA0012-removebg-preview.png,papaya,,Papaya - Carica Insect Hole,Papaya,Carica Insect Hole,False,valid
Data\papaya\papaya main dataset\healthy_leaf\IMG-20241027-WA0045-removebg-preview.png,papaya,,Papaya - Healthy Leaf,Papaya,Healthy Leaf,False,valid
Data\papaya\papaya main dataset\healthy_leaf\IMG-20241027-WA0059-removebg-preview.png,papaya,,Papaya - Healthy Leaf,Papaya,Healthy Leaf,False,valid
Data\papaya\papaya main dataset\healthy_leaf\IMG20241110191833.png,papaya,,Papaya - Healthy Leaf,Papaya,Healthy Leaf,False,valid
Data\papaya\papaya main dataset\Yellow_Necrotic_Spots_Holes\IMG-20241027-WA0309-removebg-preview.png,papaya,,Papaya - Yellow Necrotic Spots Holes,Papaya,Yellow Necrotic Spots Holes,False,valid
Data\papaya\papaya main dataset\Yellow_Necrotic_Spots_Holes\IMG-20241027-WA0505-removebg-preview.png,papaya,,Papaya - Yellow Necrotic Spots Holes,Papaya,Yellow Necrotic Spots Holes,False,valid
Data\papaya\papaya main dataset\Yellow_Necrotic_Spots_Holes\IMG-20241027-WA0118-removebg-preview.png,papaya,,Papaya - Yellow Necrotic Spots Holes,Papaya,Yellow Necrotic Spots Holes,False,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Apple_scab\5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410_new30degFlipLR.JPG,mixed,valid,Apple - Apple scab,Apple,Apple scab,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Apple_scab\88079400-60e9-4317-b917-0bee6c8c16f5___FREC_Scab 3411_new30degFlipLR.JPG,mixed,valid,Apple - Apple scab,Apple,Apple scab,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Apple_scab\f96cb3b3-172a-44d8-9720-d6a3ed87ced9___FREC_Scab 3036_270deg.JPG,mixed,valid,Apple - Apple scab,Apple,Apple scab,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Black_rot\f9ec74fa-f27f-4185-a89c-0613319e382b___JR_FrgE.S 8640.JPG,mixed,valid,Apple - Black rot,Apple,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Black_rot\255dd1a9-d4cf-4b38-9872-8f8bc6746703___JR_FrgE.S 3040_90deg.JPG,mixed,valid,Apple - Black rot,Apple,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Black_rot\760ef647-ba10-4477-a388-105182a0c0e2___JR_FrgE.S 2895_90deg.JPG,mixed,valid,Apple - Black rot,Apple,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Cedar_apple_rust\9b3023a6-f35a-46b4-be98-022eb2ac42e4___FREC_C.Rust 9801.JPG,mixed,valid,Apple - Cedar apple rust,Apple,Cedar apple rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Cedar_apple_rust\3b1e5132-71dd-4e75-b04a-513a3851ca02___FREC_C.Rust 4439_new30degFlipLR.JPG,mixed,valid,Apple - Cedar apple rust,Apple,Cedar apple rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___Cedar_apple_rust\c8ef20c5-1117-4774-aeec-0f263f9f3b3c___FREC_C.Rust 3853_180deg.JPG,mixed,valid,Apple - Cedar apple rust,Apple,Cedar apple rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___healthy\ab3bb73a-9828-4951-89c1-44a47e980ca2___RS_HL 7695_flipTB.JPG,mixed,valid,Apple - Healthy,Apple,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___healthy\2bf54e83-c962-4b46-84b1-d5a8a7b686da___RS_HL 5858.JPG,mixed,valid,Apple - Healthy,Apple,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Apple___healthy\b202b328-dec4-4b4a-bf6f-50c331f63f89___RS_HL 6311.JPG,mixed,valid,Apple - Healthy,Apple,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Blueberry___healthy\7ee3c428-fe33-430f-8560-603f65d31996___RS_HL 2333.JPG,mixed,valid,Blueberry - Healthy,Blueberry,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Blueberry___healthy\0e30d373-58ad-4464-ab61-89cc9d4ab912___RS_HL 2543_newPixel25.JPG,mixed,valid,Blueberry - Healthy,Blueberry,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Blueberry___healthy\9f7a8617-7e12-4df0-bcdb-f467c69ca854___RS_HL 5507.JPG,mixed,valid,Blueberry - Healthy,Blueberry,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___healthy\de109fda-8cf0-40d2-83ba-2dbc884fcb7d___JR_HL 4002_flipTB.JPG,mixed,valid,Cherry (including sour) - Healthy,Cherry (including sour),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___healthy\185054fb-77dd-4c64-8d76-d1f061da173f___JR_HL 9797_flipTB.JPG,mixed,valid,Cherry (including sour) - Healthy,Cherry (including sour),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___healthy\cf4b0e6e-7847-496b-ae4b-eb8466631c05___JR_HL 9624.JPG,mixed,valid,Cherry (including sour) - Healthy,Cherry (including sour),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___Powdery_mildew\5050b880-7a98-4f24-a484-014ec59537ee___FREC_Pwd.M 0383.JPG,mixed,valid,Cherry (including sour) - Powdery mildew,Cherry (including sour),Powdery mildew,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___Powdery_mildew\ca96a7a3-f34e-4796-86b7-b2826b760002___FREC_Pwd.M 0338_flipLR.JPG,mixed,valid,Cherry (including sour) - Powdery mildew,Cherry (including sour),Powdery mildew,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Cherry_(including_sour)___Powdery_mildew\67671558-ae51-4cb1-9a17-06b46bce2059___FREC_Pwd.M 5009.JPG,mixed,valid,Cherry (including sour) - Powdery mildew,Cherry (including sour),Powdery mildew,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\7cc0887b-1bbc-49f4-8779-f7ff62aab90e___RS_GLSp 9354.JPG,mixed,valid,Corn (maize) - Cercospora leaf spot Gray leaf spot,Corn (maize),Cercospora leaf spot Gray leaf spot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\659f419d-10c3-42db-9b3a-45565709354c___RS_GLSp 4658_new30degFlipLR.JPG,mixed,valid,Corn (maize) - Cercospora leaf spot Gray leaf spot,Corn (maize),Cercospora leaf spot Gray leaf spot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\5f00e4d0-e48c-4b6b-9602-022fd38cf7e7___RS_GLSp 7331_90deg.JPG,mixed,valid,Corn (maize) - Cercospora leaf spot Gray leaf spot,Corn (maize),Cercospora leaf spot Gray leaf spot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Common_rust_\RS_Rust 2745_flipLR.JPG,mixed,valid,Corn (maize) - Common rust,Corn (maize),Common rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Common_rust_\RS_Rust 1652_flipLR.JPG,mixed,valid,Corn (maize) - Common rust,Corn (maize),Common rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Common_rust_\RS_Rust 1895.JPG,mixed,valid,Corn (maize) - Common rust,Corn (maize),Common rust,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___healthy\1db3211e-b730-419d-ae1d-b22cd923333a___R.S_HL 8291 copy_flipLR.jpg,mixed,valid,Corn (maize) - Healthy,Corn (maize),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___healthy\2bc73f3d-9886-4873-8c78-835f1c219878___R.S_HL 7980 copy.jpg,mixed,valid,Corn (maize) - Healthy,Corn (maize),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___healthy\116e19d7-8948-4eaa-8309-617434b47f57___R.S_HL 0615.JPG,mixed,valid,Corn (maize) - Healthy,Corn (maize),Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Northern_Leaf_Blight\fc1c72a4-1aff-4ebf-83ed-909a7b9dc382___RS_NLB  4670.JPG,mixed,valid,Corn (maize) - Northern Leaf Blight,Corn (maize),Northern Leaf Blight,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Northern_Leaf_Blight\162b2f34-0fa5-49ca-8996-ef495e8ef6c6___RS_NLB 3484_180deg.JPG,mixed,valid,Corn (maize) - Northern Leaf Blight,Corn (maize),Northern Leaf Blight,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Corn_(maize)___Northern_Leaf_Blight\6313736d-ff6e-4180-8f38-8c9e635d9da9___RS_NLB 3865_180deg.JPG,mixed,valid,Corn (maize) - Northern Leaf Blight,Corn (maize),Northern Leaf Blight,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Black_rot\1fd3808a-4e87-4cc0-8b5a-5e12de26c538___FAM_B.Rot 3253.JPG,mixed,valid,Grape - Black rot,Grape,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Black_rot\2826340e-dbd6-4e2c-b097-2b0dcec8ab77___FAM_B.Rot 0420_flipLR.JPG,mixed,valid,Grape - Black rot,Grape,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Black_rot\114e772d-4784-4d26-b9a6-c15c56ece3ad___FAM_B.Rot 3515_flipLR.JPG,mixed,valid,Grape - Black rot,Grape,Black rot,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Esca_(Black_Measles)\2c59c3a9-8bef-4c24-99be-2bb3563b8171___FAM_B.Msls 1178.JPG,mixed,valid,Grape - Esca (Black Measles),Grape,Esca (Black Measles),True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Esca_(Black_Measles)\e0411c92-77e9-4da5-87a3-ba352f3abf53___FAM_B.Msls 0846_flipLR.JPG,mixed,valid,Grape - Esca (Black Measles),Grape,Esca (Black Measles),True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___Esca_(Black_Measles)\db1f571b-c607-41b4-a629-4b71e07dc6be___FAM_B.Msls 1242.JPG,mixed,valid,Grape - Esca (Black Measles),Grape,Esca (Black Measles),True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___healthy\580e79e8-9e89-41c8-930c-bd3eafb818b2___Mt.N.V_HL 6196_new30degFlipLR.JPG,mixed,valid,Grape - Healthy,Grape,Healthy,True,valid
Data\mixed\New Plant Diseases Dataset(Augmented)\New Plant Diseases Dataset(Augmented)\valid\Grape___healthy\ad0a8ced-f3b0-4c21-8ec6-658bcfe9fa2a___Mt.N.V_HL 9034_90deg.JPG,mixed,valid,Grape - Healthy,Grape,Healthy,True,valid
